sent,words
हादसे के बाद ट्रक चालक वाहन लेकर फरार हो गया।,"['हादसे', 'के', 'बाद', 'ट्रक', 'चालक', 'वाहन', 'लेकर', 'फरार', 'हो', 'गया।']"
जबकि पुलिस इस मामले की जांच में जुट गई है,"['जबकि', 'पुलिस', 'इस', 'मामले', 'की', 'जांच', 'में', 'जुट', 'गई', 'है']"
"परमेश्‍वर के सेवकों को बचाने के लिए, शैतान और उसकी सम्पूर्ण विश्‍वव्यापी रीति - व्यवस्था को हटाने की ज़रूरत है ।","['परमेश्\u200dवर', 'के', 'सेवकों', 'को', 'बचाने', 'के', 'लिए,', 'शैतान', 'और', 'उसकी', 'सम्पूर्ण', 'विश्\u200dवव्यापी', 'रीति', '-', 'व्यवस्था', 'को', 'हटाने', 'की', 'ज़रूरत', 'है', '।']"
पगारा में पल्स पोलियो अभियान का किया शुभारंभ,"['पगारा', 'में', 'पल्स', 'पोलियो', 'अभियान', 'का', 'किया', 'शुभारंभ']"
राहुल गांधी के कांग्रेस अध्यक्ष बनने की चर्चा चल रही है,"['राहुल', 'गांधी', 'के', 'कांग्रेस', 'अध्यक्ष', 'बनने', 'की', 'चर्चा', 'चल', 'रही', 'है']"
इस पर सरकार को कोर्ट और सरकार पर विचार करना चाहिए।,"['इस', 'पर', 'सरकार', 'को', 'कोर्ट', 'और', 'सरकार', 'पर', 'विचार', 'करना', 'चाहिए।']"
दोनों की दो बेटिया हैं जिनका नाम मिराया और राध्या रखा गया है।,"['दोनों', 'की', 'दो', 'बेटिया', 'हैं', 'जिनका', 'नाम', 'मिराया', 'और', 'राध्या', 'रखा', 'गया', 'है।']"
परमेश्‍वर का भय मान और उसकी आज्ञाओं का पालन कर,"['परमेश्\u200dवर', 'का', 'भय', 'मान', 'और', 'उसकी', 'आज्ञाओं', 'का', 'पालन', 'कर']"
"पूजा भट्ट: caa-nrc का समर्थन नहीं, ये मेरे घर को बाँट रहा है।","['पूजा', 'भट्ट:', 'caa-nrc', 'का', 'समर्थन', 'नहीं,', 'ये', 'मेरे', 'घर', 'को', 'बाँट', 'रहा', 'है।']"
 जब मेरा बल घटे तब मुझ को छोड़ न दे । ” — भज,"['', 'जब', 'मेरा', 'बल', 'घटे', 'तब', 'मुझ', 'को', 'छोड़', 'न', 'दे', '।', '”', '—', 'भज']"
पुलिस ने मामला दर्ज कर तलाश शुरू कर दी है।,"['पुलिस', 'ने', 'मामला', 'दर्ज', 'कर', 'तलाश', 'शुरू', 'कर', 'दी', 'है।']"
( ख) बताइए कि परमेश्‍वर से दोस्ती करने की वजह से आपको साथियों के दबाव का सामना करने में कैसी मदद मिली है ।,"['(', 'ख)', 'बताइए', 'कि', 'परमेश्\u200dवर', 'से', 'दोस्ती', 'करने', 'की', 'वजह', 'से', 'आपको', 'साथियों', 'के', 'दबाव', 'का', 'सामना', 'करने', 'में', 'कैसी', 'मदद', 'मिली', 'है', '।']"
यदि मेरे बयान से किसी की भावनाएं आहत हुई हैं तो मैं सभी लोगों से माफी मांगता हूं।,"['यदि', 'मेरे', 'बयान', 'से', 'किसी', 'की', 'भावनाएं', 'आहत', 'हुई', 'हैं', 'तो', 'मैं', 'सभी', 'लोगों', 'से', 'माफी', 'मांगता', 'हूं।']"
पाकिस्तानी सेना के प्रवक्ता मेजर जनरल आसिफ गुफूर ने कहा कि करतारपुर कॉरिडोर आने वाले भारतीय श्रद्धालुओं के लिए पासपोर्ट की जरूरत होगी,"['पाकिस्तानी', 'सेना', 'के', 'प्रवक्ता', 'मेजर', 'जनरल', 'आसिफ', 'गुफूर', 'ने', 'कहा', 'कि', 'करतारपुर', 'कॉरिडोर', 'आने', 'वाले', 'भारतीय', 'श्रद्धालुओं', 'के', 'लिए', 'पासपोर्ट', 'की', 'जरूरत', 'होगी']"
इससे पहले दिल्ली ने आखिरी चार विकेट 15 रन के भीतर गंवा दिए।,"['इससे', 'पहले', 'दिल्ली', 'ने', 'आखिरी', 'चार', 'विकेट', '15', 'रन', 'के', 'भीतर', 'गंवा', 'दिए।']"
बताया जा रहा है क‍ि सूचना के बाद पुलिस ने सर्च ऑपरेशन शुरू कर दिया है।,"['बताया', 'जा', 'रहा', 'है', 'क\u200dि', 'सूचना', 'के', 'बाद', 'पुलिस', 'ने', 'सर्च', 'ऑपरेशन', 'शुरू', 'कर', 'दिया', 'है।']"
धरने पर बड़ी संख्या में महिलाएं व पुरूष मौजूद रहे।,"['धरने', 'पर', 'बड़ी', 'संख्या', 'में', 'महिलाएं', 'व', 'पुरूष', 'मौजूद', 'रहे।']"
